timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1596704728838,12,goto_Main,200,,1_HW_loginToSC 1-1,text,true,,22667,334,1,1,http://localhost:8080/,12,0,3
1596704728852,8,goto_progect,200,,1_HW_loginToSC 1-1,text,true,,11863,380,1,1,http://localhost:8080/projects.html,7,0,0
1596704728862,25,goto_007,200,,1_HW_loginToSC 1-1,text,true,,1233,833,1,1,http://localhost:8080/self/login,6,0,0
1596704728862,6,goto_007-0,302,,1_HW_loginToSC 1-1,,true,,349,390,1,1,http://localhost:8080/self/hello,6,0,0
1596704728869,18,goto_007-1,200,,1_HW_loginToSC 1-1,text,true,,884,443,1,1,http://localhost:8080/self/login,18,0,0
1596704728889,14,login_007,200,,1_HW_loginToSC 1-1,text,true,,1721,1103,1,1,http://localhost:8080/self/hello,4,0,0
1596704728889,4,login_007-0,302,,1_HW_loginToSC 1-1,,true,,349,577,1,1,http://localhost:8080/self/login,4,0,0
1596704728894,9,login_007-1,200,,1_HW_loginToSC 1-1,text,true,,1372,526,1,1,http://localhost:8080/self/hello,9,0,0
1596704728934,21,SOAP Request,200,,1_HW_loginToSC 1-1,text,true,,626,550,1,1,http://localhost:8300/ws,21,0,2
1596704728956,28,logout,200,,1_HW_loginToSC 1-1,text,true,,1240,1066,1,1,http://localhost:8080/self/login?error,4,0,0
1596704728956,4,logout-0,302,,1_HW_loginToSC 1-1,,true,,282,540,1,1,http://localhost:8080/self/login,4,0,0
1596704728960,24,logout-1,200,,1_HW_loginToSC 1-1,text,true,,958,526,1,1,http://localhost:8080/self/login?error,23,0,0
1596704728985,0,Debug Sampler,200,OK,1_HW_loginToSC 1-1,text,true,,701,0,1,1,null,0,0,0
