timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1597085908607,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,null,0,0,0
1597085908616,54576,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597085908620,65904,localhost CPU idle,,,,,true,,0,0,0,0,null,0,0,0
1597085909678,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,null,0,0,0
1597085909680,54453,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597085910680,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,null,0,0,0
1597085910681,54445,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597085910681,60242,localhost CPU idle,,,,,true,,0,0,0,0,null,0,0,0
1597085911683,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,null,0,0,0
1597085911683,54419,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597085911684,62834,localhost CPU idle,,,,,true,,0,0,0,0,null,0,0,0
1597085912685,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,null,0,0,0
1597085912686,54456,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597085912686,70032,localhost CPU idle,,,,,true,,0,0,0,0,null,0,0,0
1597085913686,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,null,0,0,0
1597085913687,54428,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597085913687,62124,localhost CPU idle,,,,,true,,0,0,0,0,null,0,0,0
1597085914687,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,null,0,0,0
1597085914688,54439,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597085914688,66775,localhost CPU idle,,,,,true,,0,0,0,0,null,0,0,0
1597085915689,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,null,0,0,0
1597085915691,54558,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597085915691,60472,localhost CPU idle,,,,,true,,0,0,0,0,null,0,0,0
1597085916691,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,null,0,0,0
1597085916692,54622,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597085916692,51115,localhost CPU idle,,,,,true,,0,0,0,0,null,0,0,0
1597085917692,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,null,0,0,0
1597085917693,54752,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597085917693,42967,localhost CPU idle,,,,,true,,0,0,0,0,null,0,0,0
