timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1596804366587,3968,goto_Main,200,,Main Thraed 1-1,text,true,,22653,116,1,2,http://localhost:8080/,3967,0,1
1596804366555,4228,goto_guestbook,200,,Thread Group 2-1,text,true,,4112,130,1,2,http://localhost:8080/guestbook.html,4228,0,2
1596804370814,181,goto_Main,200,,Thread Group 2-1,text,true,,22653,116,1,2,http://localhost:8080/,181,0,0
1596804370599,400,goto_clients,200,,Main Thraed 1-1,text,true,,6135,128,1,2,http://localhost:8080/clients.html,400,0,0
1596804371237,196,goto_guestbook,200,,Main Thraed 1-1,text,true,,4112,130,1,2,http://localhost:8080/guestbook.html,196,0,0
1596804371011,1720,goto_service/guestbook,200,,Thread Group 2-1,text,true,,11189,133,1,2,http://localhost:8080/service/guestbook,1710,0,0
1596804373449,3474,Request_to_Base_TRUNCATE,200,OK,Thread Group 2-1,text,true,,9,0,1,2,null,3474,0,3469
1596804371442,5999,POST Request to Base,500,,Main Thraed 1-1,text,false,,1127,560,1,2,http://localhost:8080/service/guestbook,5998,0,0
1596804377529,142,goto_service/guestbook,200,,Main Thraed 1-1,text,false,Response was null,272,133,1,2,http://localhost:8080/service/guestbook,142,0,54
1596804377526,187,goto_guestbook,200,,Thread Group 2-1,text,true,,4112,130,1,2,http://localhost:8080/guestbook.html,187,0,0
1596804377714,158,goto_Main,200,,Thread Group 2-1,text,true,,22653,116,1,2,http://localhost:8080/,150,0,0
1596804377898,52,goto_service/guestbook,200,,Thread Group 2-1,text,true,,272,133,1,2,http://localhost:8080/service/guestbook,52,0,0
1596804377812,135,goto_Main,200,,Main Thraed 1-1,text,true,,22653,116,1,2,http://localhost:8080/,133,0,0
1596804377978,19,goto_clients,200,,Main Thraed 1-1,text,true,,6135,128,1,2,http://localhost:8080/clients.html,19,0,0
1596804378014,5,goto_guestbook,200,,Main Thraed 1-1,text,true,,4112,130,1,2,http://localhost:8080/guestbook.html,4,0,0
1596804378020,84,POST Request to Base,200,,Main Thraed 1-1,text,true,,274,385,1,2,http://localhost:8080/service/guestbook,84,0,0
1596804378219,4,goto_service/guestbook,200,,Main Thraed 1-1,text,true,,341,133,1,2,http://localhost:8080/service/guestbook,4,0,0
1596804378225,5,goto_Main,200,,Main Thraed 1-1,text,true,,22653,116,1,2,http://localhost:8080/,5,0,0
1596804378264,119,goto_clients,200,,Main Thraed 1-1,text,true,,6135,128,1,2,http://localhost:8080/clients.html,119,0,0
