timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1596734760121,73,goto_Main,200,,clearGuestbookHistory 2-1,text,true,,22653,116,1,2,http://localhost:8080/,62,0,32
1596734760134,99,goto_Main,200,,sendComment 1-1,text,true,,22653,116,1,2,http://localhost:8080/,99,0,31
1596734760210,39,goto_guestbook,200,,clearGuestbookHistory 2-1,text,true,,4112,130,1,2,http://localhost:8080/guestbook.html,39,0,0
1596734760244,15,goto_clients,200,,sendComment 1-1,text,true,,6135,128,1,2,http://localhost:8080/clients.html,15,0,0
1596734760802,31,goto_guestbook,200,,sendComment 1-1,text,true,,4112,130,1,2,http://localhost:8080/guestbook.html,31,0,0
1596734761338,14,POST Request to Base,200,,sendComment 1-1,text,true,,274,362,1,2,http://localhost:8080/service/guestbook,13,0,0
1596734761855,6,goto_guestbook,200,,sendComment 1-1,text,true,,467,133,1,2,http://localhost:8080/service/guestbook,6,0,0
1596734762366,6,goto_Main,200,,sendComment 1-1,text,true,,22653,116,1,2,http://localhost:8080/,6,0,0
1596734762881,8,goto_clients,200,,sendComment 1-1,text,true,,6135,128,1,2,http://localhost:8080/clients.html,8,0,0
1596734763395,6,goto_guestbook,200,,sendComment 1-1,text,true,,4112,130,1,2,http://localhost:8080/guestbook.html,6,0,0
1596734763924,19,POST Request to Base,200,,sendComment 1-1,text,true,,274,332,1,2,http://localhost:8080/service/guestbook,19,0,0
1596734764452,8,goto_guestbook,200,,sendComment 1-1,text,true,,516,133,1,2,http://localhost:8080/service/guestbook,8,0,0
1596734764965,6,goto_Main,200,,sendComment 1-1,text,true,,22653,116,1,2,http://localhost:8080/,5,0,0
1596734765477,94,goto_clients,200,,sendComment 1-1,text,true,,6135,128,1,2,http://localhost:8080/clients.html,94,0,0
1596734765581,19,goto_guestbook,200,,sendComment 1-1,text,true,,4112,130,1,2,http://localhost:8080/guestbook.html,19,0,0
1596734766107,20,POST Request to Base,500,,sendComment 1-1,text,false,,1114,523,1,2,http://localhost:8080/service/guestbook,17,0,0
1596734766635,9,goto_guestbook,200,,sendComment 1-1,text,false,Test failed: text expected to contain /<b>Центральный банк Российской Федерации</b>: 'Отличные ребята.'/,516,133,1,2,http://localhost:8080/service/guestbook,9,0,2
1596734767157,7,goto_Main,200,,sendComment 1-1,text,true,,22653,116,1,2,http://localhost:8080/,7,0,0
1596734767670,6,goto_clients,200,,sendComment 1-1,text,true,,6135,128,1,2,http://localhost:8080/clients.html,6,0,0
1596734768196,6,goto_guestbook,200,,sendComment 1-1,text,true,,4112,130,1,2,http://localhost:8080/guestbook.html,6,0,0
1596734768719,28,POST Request to Base,200,,sendComment 1-1,text,true,,274,316,1,2,http://localhost:8080/service/guestbook,28,0,0
1596734769249,5,goto_guestbook,200,,sendComment 1-1,text,true,,560,133,1,2,http://localhost:8080/service/guestbook,5,0,0
1596734769758,7,goto_Main,200,,sendComment 1-1,text,true,,22653,116,1,2,http://localhost:8080/,6,0,0
1596734770268,5,goto_clients,200,,sendComment 1-1,text,true,,6135,128,1,2,http://localhost:8080/clients.html,5,0,0
1596734770778,55,goto_guestbook,200,,sendComment 1-1,text,true,,4112,130,1,2,http://localhost:8080/guestbook.html,55,0,0
1596734771336,6,POST Request to Base,200,,sendComment 1-1,text,true,,274,426,1,2,http://localhost:8080/service/guestbook,6,0,0
1596734771845,4,goto_guestbook,200,,sendComment 1-1,text,true,,643,133,1,2,http://localhost:8080/service/guestbook,4,0,0
1596734772352,7,goto_Main,200,,sendComment 1-1,text,true,,22653,116,1,2,http://localhost:8080/,7,0,0
1596734772862,5,goto_clients,200,,sendComment 1-1,text,true,,6135,128,1,2,http://localhost:8080/clients.html,5,0,0
1596734773371,7,goto_guestbook,200,,sendComment 1-1,text,true,,4112,130,1,2,http://localhost:8080/guestbook.html,7,0,0
1596734773886,8,POST Request to Base,200,,sendComment 1-1,text,true,,274,359,1,2,http://localhost:8080/service/guestbook,8,0,0
