timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1596735229886,151,goto_Main,200,,clearGuestbookHistory 2-1,text,true,,22653,119,1,2,http://localhost:8080/,141,0,96
1596735229886,151,goto_Main,200,,sendComment 1-1,text,true,,22653,119,1,2,http://localhost:8080/,141,0,96
1596735230057,10,goto_guestbook,200,,clearGuestbookHistory 2-1,text,true,,4112,133,1,2,http://localhost:8080/guestbook.html,10,0,0
1596735230058,9,goto_clients,200,,sendComment 1-1,text,true,,6135,131,1,2,http://localhost:8080/clients.html,8,0,0
1596735230637,6,goto_guestbook,200,,sendComment 1-1,text,true,,4112,133,1,2,http://localhost:8080/guestbook.html,5,0,0
1596735231147,19,POST Request to Base,200,,sendComment 1-1,text,true,,274,305,1,2,http://localhost:8080/service/guestbook,19,0,0
1596735231670,7,goto_guestbook,200,,sendComment 1-1,text,true,,7063,136,1,2,http://localhost:8080/service/guestbook,7,0,0
1596735232185,8,goto_Main,200,,sendComment 1-1,text,true,,22653,119,1,2,http://localhost:8080/,7,0,0
1596735232697,6,goto_clients,200,,sendComment 1-1,text,true,,6135,131,1,2,http://localhost:8080/clients.html,6,0,0
1596735233209,6,goto_guestbook,200,,sendComment 1-1,text,true,,4112,133,1,2,http://localhost:8080/guestbook.html,6,0,0
1596735233718,6,POST Request to Base,200,,sendComment 1-1,text,true,,274,386,1,2,http://localhost:8080/service/guestbook,6,0,0
1596735234231,6,goto_guestbook,200,,sendComment 1-1,text,true,,7131,136,1,2,http://localhost:8080/service/guestbook,6,0,0
1596735234742,7,goto_Main,200,,sendComment 1-1,text,true,,22653,119,1,2,http://localhost:8080/,7,0,0
1596735235255,6,goto_clients,200,,sendComment 1-1,text,true,,6135,131,1,2,http://localhost:8080/clients.html,6,0,0
1596735235766,6,goto_guestbook,200,,sendComment 1-1,text,true,,4112,133,1,2,http://localhost:8080/guestbook.html,5,0,0
1596735236275,12,POST Request to Base,200,,sendComment 1-1,text,true,,274,397,1,2,http://localhost:8080/service/guestbook,12,0,0
1596735236790,6,goto_guestbook,200,,sendComment 1-1,text,true,,7202,136,1,2,http://localhost:8080/service/guestbook,6,0,0
1596735237302,7,goto_Main,200,,sendComment 1-1,text,true,,22653,119,1,2,http://localhost:8080/,6,0,0
1596735237813,8,goto_clients,200,,sendComment 1-1,text,true,,6135,131,1,2,http://localhost:8080/clients.html,8,0,0
1596735238325,6,goto_guestbook,200,,sendComment 1-1,text,true,,4112,133,1,2,http://localhost:8080/guestbook.html,6,0,0
1596735238835,6,POST Request to Base,200,,sendComment 1-1,text,true,,274,393,1,2,http://localhost:8080/service/guestbook,6,0,0
1596735239344,6,goto_guestbook,200,,sendComment 1-1,text,true,,7273,136,1,2,http://localhost:8080/service/guestbook,6,0,0
1596735239853,7,goto_Main,200,,sendComment 1-1,text,true,,22653,119,1,2,http://localhost:8080/,6,0,0
1596735240366,7,goto_clients,200,,sendComment 1-1,text,true,,6135,131,1,2,http://localhost:8080/clients.html,7,0,0
1596735240883,6,goto_guestbook,200,,sendComment 1-1,text,true,,4112,133,1,2,http://localhost:8080/guestbook.html,6,0,0
1596735241393,8,POST Request to Base,200,,sendComment 1-1,text,true,,274,368,1,2,http://localhost:8080/service/guestbook,8,0,0
1596735241903,6,goto_guestbook,200,,sendComment 1-1,text,true,,7333,136,1,2,http://localhost:8080/service/guestbook,6,0,0
1596735242413,8,goto_Main,200,,sendComment 1-1,text,true,,22653,119,1,2,http://localhost:8080/,8,0,0
1596735242924,6,goto_clients,200,,sendComment 1-1,text,true,,6135,131,1,2,http://localhost:8080/clients.html,5,0,0
1596735243434,5,goto_guestbook,200,,sendComment 1-1,text,true,,4112,133,1,2,http://localhost:8080/guestbook.html,5,0,0
1596735243943,22,POST Request to Base,500,,sendComment 1-1,text,false,,1104,500,1,2,http://localhost:8080/service/guestbook,19,0,0
