timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1596720625917,76670,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1596720625919,21952,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1596720625934,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1596720626934,76668,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1596720626935,16618,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1596720626935,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1596720627935,76672,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1596720627936,33199,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1596720627936,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1596720628936,76576,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1596720628937,13670,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1596720628937,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1596720629937,76575,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1596720629938,12072,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1596720629938,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1596720630938,76582,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1596720630939,18961,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1596720630939,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1596720631939,76585,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1596720631940,4732,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1596720631940,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1596720632940,76579,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1596720632941,5416,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1596720632941,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1596720633941,76567,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1596720633941,11717,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1596720633942,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1596720634942,76567,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1596720634943,6636,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1596720634943,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1596720635944,76567,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1596720635944,7811,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1596720635944,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1596720636944,76567,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1596720636944,6611,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1596720636944,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1596720637944,76543,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1596720637944,7062,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1596720637944,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1596720638944,76543,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1596720638944,6256,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1596720638944,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1596720639945,76543,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1596720639946,13273,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1596720639946,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1596720640946,76744,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1596720640946,30236,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1596720640946,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1596720641946,76781,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1596720641946,20531,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1596720641946,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1596720642946,76567,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1596720642946,5949,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1596720642946,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1596720643946,76533,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1596720643946,8898,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1596720643946,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1596720644946,76533,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1596720644946,17472,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1596720644946,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1596720645946,76322,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1596720645946,7355,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1596720645946,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1596720646946,76375,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1596720646946,7644,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1596720646946,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1596720647946,76361,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1596720647946,5680,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1596720647946,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1596720648946,76361,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1596720648946,7494,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1596720648946,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1596720649946,76361,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1596720649946,5747,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1596720649946,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1596720650946,76361,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1596720650946,5503,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1596720650946,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1596720651946,76369,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1596720651946,6536,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1596720651946,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1596720652947,76371,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
